train dataset: size=96000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=5500
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 67/1000, train: loss=0.0048, val: psnr=39.6893, 4.2m 4.8h/71.2h
epoch 68/1000, train: loss=0.0048, val: psnr=39.6062, 4.2m 4.8h/71.2h
epoch 69/1000, train: loss=0.0048, val: psnr=39.5619, 4.3m 4.9h/71.2h
epoch 70/1000, train: loss=0.0047, val: psnr=39.5862, 4.2m 5.0h/71.2h
epoch 71/1000, train: loss=0.0047, val: psnr=39.6122, 4.2m 5.1h/71.1h
epoch 72/1000, train: loss=0.0047, val: psnr=39.4207, 4.2m 5.1h/71.1h
epoch 73/1000, train: loss=0.0046, val: psnr=39.1205, 4.2m 5.2h/71.1h
epoch 74/1000, train: loss=0.0046, val: psnr=39.4682, 4.3m 5.3h/71.1h
epoch 75/1000, train: loss=0.0046, val: psnr=39.5466, 4.3m 5.3h/71.1h
epoch 76/1000, train: loss=0.0047, val: psnr=39.8182, 4.3m 5.4h/71.1h
epoch 77/1000, train: loss=0.0046, val: psnr=39.5279, 4.3m 5.5h/71.1h
epoch 78/1000, train: loss=0.0046, val: psnr=39.8381, 4.3m 5.5h/71.1h
epoch 79/1000, train: loss=0.0046, val: psnr=39.6310, 4.3m 5.6h/71.1h
epoch 80/1000, train: loss=0.0046, val: psnr=39.9149, 4.2m 5.7h/71.1h
epoch 81/1000, train: loss=0.0045, val: psnr=39.9886, 4.3m 5.8h/71.1h
epoch 82/1000, train: loss=0.0045, val: psnr=39.6426, 4.3m 5.8h/71.1h
epoch 83/1000, train: loss=0.0045, val: psnr=39.5549, 4.3m 5.9h/71.1h
epoch 84/1000, train: loss=0.0045, val: psnr=39.6639, 4.2m 6.0h/71.1h
epoch 85/1000, train: loss=0.0045, val: psnr=39.7653, 4.2m 6.0h/71.1h
epoch 86/1000, train: loss=0.0045, val: psnr=39.8566, 4.2m 6.1h/71.1h
epoch 87/1000, train: loss=0.0044, val: psnr=39.6640, 4.2m 6.2h/71.1h
epoch 88/1000, train: loss=0.0045, val: psnr=40.0009, 4.2m 6.3h/71.1h
epoch 89/1000, train: loss=0.0044, val: psnr=39.9474, 4.2m 6.3h/71.1h
epoch 90/1000, train: loss=0.0044, val: psnr=39.9938, 4.2m 6.4h/71.1h
epoch 91/1000, train: loss=0.0044, val: psnr=39.7967, 4.2m 6.5h/71.1h
epoch 92/1000, train: loss=0.0044, val: psnr=40.1382, 4.2m 6.5h/71.1h
epoch 93/1000, train: loss=0.0044, val: psnr=39.5685, 4.2m 6.6h/71.1h
epoch 94/1000, train: loss=0.0044, val: psnr=40.1212, 4.2m 6.7h/71.1h
epoch 95/1000, train: loss=0.0044, val: psnr=40.1056, 4.2m 6.8h/71.1h
epoch 96/1000, train: loss=0.0043, val: psnr=40.0222, 4.2m 6.8h/71.0h
epoch 97/1000, train: loss=0.0043, val: psnr=39.7844, 4.2m 6.9h/71.0h
epoch 98/1000, train: loss=0.0044, val: psnr=39.7307, 4.2m 7.0h/71.0h
epoch 99/1000, train: loss=0.0043, val: psnr=40.1499, 4.3m 7.0h/71.0h
epoch 100/1000, train: loss=0.0043, val: psnr=39.9063, 4.2m 7.1h/71.0h
epoch 101/1000, train: loss=0.0042, val: psnr=40.2173, 4.2m 7.2h/71.0h
epoch 102/1000, train: loss=0.0043, val: psnr=40.0160, 4.2m 7.2h/71.0h
epoch 103/1000, train: loss=0.0043, val: psnr=40.0338, 4.2m 7.3h/71.0h
epoch 104/1000, train: loss=0.0043, val: psnr=40.0899, 4.2m 7.4h/71.0h
epoch 105/1000, train: loss=0.0043, val: psnr=40.2243, 4.2m 7.5h/71.0h
epoch 106/1000, train: loss=0.0043, val: psnr=40.3817, 4.3m 7.5h/71.0h
epoch 107/1000, train: loss=0.0043, val: psnr=40.3242, 4.2m 7.6h/71.0h
epoch 108/1000, train: loss=0.0042, val: psnr=40.1814, 4.3m 7.7h/71.0h
epoch 109/1000, train: loss=0.0042, val: psnr=40.2958, 4.3m 7.7h/71.0h
epoch 110/1000, train: loss=0.0042, val: psnr=39.7888, 4.3m 7.8h/71.0h
epoch 111/1000, train: loss=0.0042, val: psnr=40.2405, 4.2m 7.9h/71.0h
epoch 112/1000, train: loss=0.0041, val: psnr=40.0917, 4.2m 8.0h/71.0h
epoch 113/1000, train: loss=0.0042, val: psnr=40.2480, 4.3m 8.0h/71.0h
epoch 114/1000, train: loss=0.0042, val: psnr=40.5095, 4.3m 8.1h/71.0h
epoch 115/1000, train: loss=0.0041, val: psnr=40.2503, 4.3m 8.2h/71.0h
epoch 116/1000, train: loss=0.0042, val: psnr=40.0472, 4.3m 8.2h/71.0h
epoch 117/1000, train: loss=0.0041, val: psnr=39.8432, 4.3m 8.3h/71.0h
